month;GPR;SHARE_GPR;N10;GPRC_ARG;GPRC_AUS;GPRC_BEL;GPRC_BRA;GPRC_CAN;GPRC_CHE;GPRC_CHL;GPRC_CHN;GPRC_COL;GPRC_DEU;GPRC_DNK;GPRC_EGY;GPRC_ESP;GPRC_FIN;GPRC_FRA;GPRC_GBR;GPRC_HKG;GPRC_HUN;GPRC_IDN;GPRC_IND;GPRC_ISR;GPRC_ITA;GPRC_JPN;GPRC_KOR;GPRC_MEX;GPRC_MYS;GPRC_NLD;GPRC_NOR;GPRC_PER;GPRC_PHL;GPRC_POL;GPRC_PRT;GPRC_RUS;GPRC_SAU;GPRC_SWE;GPRC_THA;GPRC_TUN;GPRC_TUR;GPRC_TWN;GPRC_UKR;GPRC_USA;GPRC_VEN;GPRC_VNM;GPRC_ZAF;;;;;
01/01/2000;64,46;1,93;33362;0,01;0,04;0,05;0,03;0,22;0,05;0,01;0,27;0,06;0,11;0,01;0,07;0,06;0,04;0,31;0,69;0,01;0,03;0,10;0,25;0,16;0,05;0,08;0,08;0,05;0,02;0,03;0,03;0,02;0,01;0,03;0,03;0,73;0,06;0,05;0,05;0,00;0,05;0,05;0,03;1,20;0,03;0,01;0,07;;;;;45,92350992
01/02/2000;63,54;1,91;32951;0,02;0,03;0,07;0,02;0,18;0,05;0,01;0,21;0,05;0,17;0,02;0,06;0,05;0,02;0,34;0,73;0,03;0,02;0,06;0,15;0,30;0,09;0,07;0,09;0,06;0,01;0,04;0,03;0,00;0,02;0,01;0,04;0,53;0,05;0,05;0,02;0,00;0,05;0,10;0,01;1,23;0,02;0,01;0,06;;;;;35,9845292
01/03/2000;50,10;1,50;36533;0,01;0,03;0,08;0,02;0,13;0,02;0,01;0,28;0,05;0,15;0,01;0,03;0,04;0,01;0,25;0,54;0,02;0,01;0,03;0,21;0,15;0,05;0,14;0,08;0,04;0,02;0,02;0,02;0,01;0,02;0,02;0,04;0,35;0,06;0,03;0,01;0,01;0,03;0,15;0,02;1,01;0,02;0,02;0,10;;;;;47,40964572
01/04/2000;48,68;1,46;33352;0,01;0,03;0,05;0,03;0,16;0,02;0,01;0,21;0,06;0,13;0,00;0,05;0,04;0,04;0,22;0,53;0,01;0,02;0,04;0,12;0,14;0,05;0,09;0,19;0,04;0,06;0,04;0,01;0,04;0,10;0,03;0,03;0,44;0,03;0,03;0,01;0,00;0,02;0,08;0,03;1,03;0,01;0,02;0,09;;;;;35,41702918
01/05/2000;79,48;2,38;35193;0,02;0,07;0,05;0,02;0,18;0,01;0,01;0,31;0,05;0,22;0,00;0,04;0,05;0,11;0,38;0,99;0,03;0,00;0,05;0,41;0,28;0,09;0,11;0,14;0,13;0,13;0,05;0,07;0,06;0,20;0,01;0,04;0,47;0,04;0,03;0,01;0,01;0,03;0,07;0,02;1,39;0,01;0,02;0,19;;;;;52,42443621
01/06/2000;64,72;1,94;34928;0,03;0,11;0,07;0,04;0,14;0,04;0,02;0,33;0,06;0,16;0,00;0,02;0,06;0,03;0,22;0,67;0,02;0,01;0,03;0,23;0,16;0,08;0,15;0,34;0,17;0,03;0,05;0,02;0,05;0,02;0,02;0,03;0,52;0,03;0,02;0,01;0,00;0,02;0,05;0,02;1,27;0,02;0,02;0,05;;;;;57,13461181
01/07/2000;51,90;1,56;33723;0,01;0,09;0,08;0,02;0,15;0,03;0,01;0,34;0,04;0,15;0,02;0,05;0,07;0,02;0,22;0,60;0,01;0,00;0,05;0,25;0,22;0,06;0,18;0,24;0,04;0,05;0,02;0,04;0,01;0,04;0,01;0,01;0,41;0,03;0,01;0,04;0,01;0,03;0,09;0,01;0,96;0,01;0,01;0,08;;;;;57,07230842
01/08/2000;46,49;1,39;33776;0,03;0,05;0,05;0,03;0,11;0,03;0,02;0,19;0,09;0,13;0,01;0,03;0,04;0,03;0,23;0,60;0,02;0,01;0,05;0,21;0,12;0,04;0,09;0,11;0,07;0,05;0,02;0,06;0,02;0,09;0,01;0,01;0,34;0,05;0,02;0,01;0,00;0,03;0,03;0,01;0,82;0,05;0,01;0,09;;;;;31,7240507
01/09/2000;52,69;1,58;35751;0,03;0,02;0,04;0,04;0,10;0,01;0,03;0,28;0,07;0,15;0,03;0,01;0,06;0,05;0,36;0,58;0,03;0,01;0,07;0,14;0,11;0,04;0,09;0,13;0,09;0,13;0,03;0,02;0,09;0,15;0,01;0,01;0,36;0,08;0,03;0,03;0,00;0,04;0,06;0,01;1,10;0,03;0,01;0,06;;;;;47,46616337
01/10/2000;76,46;2,29;36368;0,02;0,03;0,04;0,02;0,14;0,04;0,02;0,18;0,08;0,17;0,01;0,47;0,07;0,02;0,36;0,79;0,01;0,05;0,04;0,12;0,88;0,07;0,09;0,15;0,04;0,02;0,02;0,16;0,04;0,02;0,03;0,01;0,45;0,29;0,02;0,01;0,02;0,12;0,04;0,02;1,71;0,04;0,02;0,04;;;;;30,7423433
