date,eui,gpr,cpu,oil_price,log_eui,log_gpr,log_cpu,log_oil_price,d_eui,dlog_eui,d_cpu,dlog_cpu,d_oil_price,dlog_oil_price,COVID_WINDOW_2020_03_11_2023_05_05,RU_UA_WAR_PULSE_2022_02_24,FUKUSHIMA_PULSE_2011_03_11,GFC_WINDOW_2007_12_01_2009_06_30,PARIS_COP21_PULSE_2015_12_12,SEP11_PULSE_2001_09_11
2008-06-01,1.012414531,87.54842376708984,77.59509203,132.32,0.012338102608348934,4.472192054767276,4.351504178152912,4.885223231275381,-0.009515372000000077,-0.009354798758272696,-8.072124799999997,-0.09896604019365363,9.519999999999996,0.07466621556233921,0,0,0,1,0,0
2008-07-01,1.314042715,89.73957061767578,109.0399252,132.72,0.273108427144408,4.496911815799103,4.6917141014012484,4.888241645882189,0.30162818400000013,0.26077032453605903,31.444833169999995,0.3402099232483362,0.4000000000000057,0.003018414606808406,0,0,0,1,0,0
2008-08-01,1.048399485,88.55410766601562,90.8978408,113.24,0.0472647012422702,4.483613751250245,4.509736247325955,4.7295094602436984,-0.26564323,-0.22584372590213778,-18.1420844,-0.18197785407529388,-19.480000000000004,-0.1587321856384909,0,0,0,1,0,0
2008-09-01,1.13039109,88.54255676269531,100.1195376,97.23,0.12256367019151114,4.483483303809307,4.606364848095057,4.577079305821566,0.08199160500000002,0.07529896894924093,9.221696800000004,0.09662860076910285,-16.00999999999999,-0.1524301544221327,0,0,0,1,0,0
2008-10-01,1.573520333,64.15979766845703,132.771247,71.58,0.4533153595869118,4.161376810006794,4.8886277000456735,4.2708157053378795,0.443129243,0.33075168939540067,32.65170939999999,0.28226285195061607,-25.650000000000006,-0.3062636004836863,0,0,0,1,0,0
2008-11-01,1.735455497,79.08097076416016,103.917627,52.45,0.5512699132366734,4.3704722739498845,4.6435985372286455,3.9598603348423063,0.16193516399999996,0.09795455364976158,-28.853619999999992,-0.24502916281702802,-19.129999999999995,-0.3109553704955732,0,0,0,1,0,0
2008-12-01,1.534214104,92.3664321899414,124.9957876,39.95,0.42801826556559236,4.525763624654924,4.82828003753447,3.6876286722122837,-0.2012413930000001,-0.12325164767108104,21.078160600000004,0.18468150030582464,-12.5,-0.2722316626300225,0,0,0,1,0,0
2009-01-01,1.46128641,85.36947631835938,104.2598946,43.44,0.3793171505168139,4.446988616744989,4.6468867684052455,3.77138067562568,-0.07292769399999988,-0.04870111504877844,-20.735893000000004,-0.1813932691292246,3.489999999999995,0.08375200341339628,0,0,0,1,0,0
2009-02-01,1.301926951,67.45267486572266,149.8963892,43.32,0.2638454369896864,4.211426238883349,5.009944316759724,3.76861442213279,-0.15935945900000004,-0.11547171352712754,45.63649459999999,0.3630575483544787,-0.11999999999999744,-0.0027662534928900584,0,0,0,1,0,0
2009-03-01,1.336700003,72.64462280273438,128.8941015,46.54,0.2902038922396234,4.285579372173589,4.858991148618822,3.8403121578741457,0.034773052000000026,0.02635845524993702,-21.002287699999982,-0.15095316814090243,3.219999999999999,0.07169773574135574,0,0,0,1,0,0
2009-04-01,0.599378271,85.6884994506836,84.95848139,50.18,-0.5118623760079181,4.450718621157455,4.442162682922392,3.9156165409382764,-0.7373217320000001,-0.8020662682475415,-43.93562011,-0.4168284656964296,3.6400000000000006,0.07530438306413068,0,0,0,1,0,0
2009-05-01,0.556881835,89.68086242675781,87.87758408,57.3,-0.5854022069827792,4.49625739542995,4.475944756014261,4.048300623720694,-0.04249643599999997,-0.07353983097486116,2.9191026900000026,0.03378207309186898,7.119999999999997,0.1326840827824176,0,0,0,1,0,0
2009-06-01,0.671259234,81.10958862304688,88.24678604,68.61,-0.39859987682910036,4.395801186229259,4.480137276340027,4.2284382967028,0.11437739899999999,0.18680233015367886,0.36920195999999805,0.004192520325766225,11.310000000000002,0.1801376729821058,0,0,0,1,0,0
2009-07-01,0.619068447,83.43962097167969,71.64657962,64.44,-0.4795394356740257,4.424123268156788,4.271745415800455,4.165734558308774,-0.052190787000000016,-0.08093955884492532,-16.600206420000006,-0.2083918605395727,-4.170000000000002,-0.06270373839402588,0,0,0,1,0,0
2009-08-01,0.632369358,73.37187957763672,77.37370337,72.51,-0.4582816283311657,4.2955407501930125,4.34864697312606,4.2837244833835015,0.013300911000000082,0.02125780734285998,5.727123750000004,0.07690155732560555,8.070000000000007,0.11798992507472761,0,0,0,0,0,0
2009-09-01,0.625701885,92.8399887084961,97.78104702,67.65,-0.4688812433564981,4.530877459782964,4.5827307650088995,4.214347354616797,-0.006667473000000035,-0.01059961502533241,20.40734365,0.23408379188283934,-4.859999999999999,-0.06937712876670421,0,0,0,0,0,0
2009-10-01,0.607550702,90.57640075683594,95.41781309,72.77,-0.4983196471677278,4.506193701821213,4.558265281045192,4.287303782358995,-0.01815118299999996,-0.029438403811229696,-2.363233930000007,-0.024465483963707513,5.11999999999999,0.07295642774219768,0,0,0,0,0,0
2009-11-01,0.557964161,82.10176086425781,94.59573833,76.66,-0.5834605462620729,4.407959464026893,4.549612425677329,4.339380059952409,-0.04958654100000004,-0.08514089909434508,-0.8220747599999925,-0.00865285536786331,3.8900000000000006,0.0520762775934136,0,0,0,0,0,0
2009-12-01,0.626742962,92.94691467285156,108.599606,74.46,-0.4672187713645821,4.532028520209886,4.687667779500621,4.310262068444571,0.068778801,0.11624177489749077,14.003867669999991,0.13805535382329204,-2.200000000000003,-0.029117991507837893,0,0,0,0,0,0
